Date,Video,Video title,Video publish time,Views
2020-05-26,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-05-27,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",2
2020-05-28,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",2
2020-05-29,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",7
2020-05-30,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",2
2020-05-31,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",2
2020-06-01,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",4
2020-06-02,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-06-03,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-06-04,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",2
2020-06-05,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",4
2020-06-06,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",2
2020-06-07,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",1
2020-06-08,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",4
2020-06-09,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-06-10,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",0
2020-06-11,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",5
2020-06-12,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",1
2020-06-13,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-06-14,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",0
2020-06-15,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",1
2020-06-16,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-06-17,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-06-18,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-06-19,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",4
